source_title,document_id
Experimental Thermal and Fluid Science,421
International Journal of Heat and Mass Transfer,422
Finite Fields and their Applications,423
IEEE Journal of Selected Topics in Quantum Electronics,424
Journal of Constructional Steel Research,425
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,426
"Proceedings - 2018 International Conference on High Performance Computing and Simulation, HPCS 2018",427
Micromachines,428
"2018 IEEE 3rd International Verification and Security Workshop, IVSW 2018",429
Biochemical Engineering Journal,430
Applied Energy,431
Engineering Structures,432
Biosensors and Bioelectronics,433
Proceedings of the International Symposium on Wireless Communication Systems,434
Proceedings of the International Symposium on Wireless Communication Systems,435
Proceedings of the International Symposium on Wireless Communication Systems,436
Applied Optics,437
International Journal of Construction Education and Research,438
Current Opinion in Biotechnology,439
Computational Materials Science,440
Journal of Defense Modeling and Simulation,441
Applied Nanoscience (Switzerland),442
Journal of Mechanisms and Robotics,443
Biomedical Materials (Bristol),444
Materials Science and Engineering A,445
Mechanics Based Design of Structures and Machines,446
International Journal of Technology and Design Education,447
International Journal of Heat and Mass Transfer,448
Diamond and Related Materials,449
Soil Dynamics and Earthquake Engineering,450
Biomimetics,451
"2018 International Conference on Unmanned Aircraft Systems, ICUAS 2018",452
"2018 International Conference on Unmanned Aircraft Systems, ICUAS 2018",453
"2018 International Conference on Reconfigurable Mechanisms and Robots, ReMAR 2018 - Proceedings",454
"2018 International Conference on Reconfigurable Mechanisms and Robots, ReMAR 2018 - Proceedings",455
"2018 International Conference on Reconfigurable Mechanisms and Robots, ReMAR 2018 - Proceedings",456
"2018 International Conference on Reconfigurable Mechanisms and Robots, ReMAR 2018 - Proceedings",457
"ACM-BCB 2018 - Proceedings of the 2018 ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",458
IEEE Photonics Technology Letters,459
Proceedings of the American Control Conference,460
Proceedings of the American Control Conference,461
Proceedings of the American Control Conference,462
Proceedings of the American Control Conference,463
"Proceedings - 2018 IEEE 19th International Conference on Information Reuse and Integration for Data Science, IRI 2018",464
"Proceedings - 2018 IEEE 19th International Conference on Information Reuse and Integration for Data Science, IRI 2018",465
IEEE Control Systems,466
Theoretical and Computational Fluid Dynamics,467
Mechanism and Machine Theory,468
IEEE International Conference on Communications,469
IEEE International Conference on Communications,470
Proceedings - IEEE Symposium on Security and Privacy,471
Handbook of Thermal Science and Engineering,472
Research Technology Management,473
"Learning, Media and Technology",474
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",475
IEEE Transactions on Antennas and Propagation,476
Journal of Hydraulic Engineering,477
Journal of Engineering Education,478
Mechanism and Machine Theory,479
"Journal of Astronomical Telescopes, Instruments, and Systems",480
Micromachines,481
"ASEE Annual Conference and Exposition, Conference Proceedings",482
"ASEE Annual Conference and Exposition, Conference Proceedings",483
"ASEE Annual Conference and Exposition, Conference Proceedings",484
"ASEE Annual Conference and Exposition, Conference Proceedings",485
"ASEE Annual Conference and Exposition, Conference Proceedings",486
"ASEE Annual Conference and Exposition, Conference Proceedings",487
"ASEE Annual Conference and Exposition, Conference Proceedings",488
"ASEE Annual Conference and Exposition, Conference Proceedings",489
"ASEE Annual Conference and Exposition, Conference Proceedings",490
"ASEE Annual Conference and Exposition, Conference Proceedings",491
"ASEE Annual Conference and Exposition, Conference Proceedings",493
IOP Conference Series: Materials Science and Engineering,495
Computer Methods in Applied Mechanics and Engineering,496
"2018 IEEE/ION Position, Location and Navigation Symposium, PLANS 2018 - Proceedings",497
IEEE Transactions on Circuits and Systems II: Express Briefs,498
Materials Characterization,499
International Journal of Heat and Mass Transfer,500
Journal of Construction Engineering and Management,501
IEEE Journal of Quantum Electronics,502
"Journal of Mechanical Design, Transactions of the ASME",503
Journal of Structural Engineering (United States),504
Sensors (Switzerland),505
JOM,506
Optics and Photonics News,507
"12th Annual IEEE International Systems Conference, SysCon 2018 - Proceedings",508
Proceedings - International Symposium on Biomedical Imaging,509
Journal of Biomechanics,510
"Noise Reduction: Methods, Applications and Technology",511
ACS Biomaterials Science and Engineering,512
International Journal on Interactive Design and Manufacturing,513
Journal of Materials Processing Technology,514
Computer Methods in Applied Mechanics and Engineering,515
Journal of Homeland Security and Emergency Management,516
Smart Materials and Structures,517
Industrial and Engineering Chemistry Research,518
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",519
Journal of Micromechanics and Microengineering,520
"Journal of Mechanical Design, Transactions of the ASME",521
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",522
NDT and E International,523
Journal of Mechanisms and Robotics,524
Journal of Mechanisms and Robotics,856
Proceedings of the ASME Design Engineering Technical Conference,524
Proceedings of the ASME Design Engineering Technical Conference,856
"Journal of Mechanical Design, Transactions of the ASME",525
Journal of Biophotonics,526
Accident Analysis and Prevention,527
"IET Generation, Transmission and Distribution",528
"Proceedings - 9th International Conference on Computational Intelligence and Communication Networks, CICN 2017",529
"2017 8th International Conference on Information, Intelligence, Systems and Applications, IISA 2017",530
"2017 8th International Conference on Information, Intelligence, Systems and Applications, IISA 2017",531
Mechanics of Materials,532
Fire Safety Journal,533
ACM/IEEE International Conference on Human-Robot Interaction,534
Lowland Technology International,535
Lab on a Chip,536
ACS Synthetic Biology,537
FPGA 2018 - Proceedings of the 2018 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,538
IEEE Reviews in Biomedical Engineering,539
"Sensors and Actuators, B: Chemical",540
IEEE Power and Energy Society General Meeting,541
"2017 IEEE 56th Annual Conference on Decision and Control, CDC 2017",542
"2017 IEEE 56th Annual Conference on Decision and Control, CDC 2017",543
"2017 IEEE 56th Annual Conference on Decision and Control, CDC 2017",544
Computer-Aided Design and Applications,545
Materials and Design,546
Materials Science and Engineering A,547
Computer-Aided Design and Applications,548
IET Conference Publications,549
Proceedings of the ASME Turbo Expo,550
2018 Applied Aerodynamics Conference,551
Construction Research Congress 2018: Infrastructure and Facility Management - Selected Papers from the Construction Research Congress 2018,552
"AIAA/ASCE/AHS/ASC Structures, Structural Dynamics, and Materials Conference, 2018",553
"AIAA/ASCE/AHS/ASC Structures, Structural Dynamics, and Materials Conference, 2018",554
"AIAA Aerospace Sciences Meeting, 2018",555
IEEE Transactions on Antennas and Propagation,556
Proceedings of the 27th USENIX Security Symposium,557
"2018 Solid-State Sensors, Actuators and Microsystems Workshop, Hilton Head 2018",558
"26th International Congress on Large Dams, 2018",559
Transactions of the American Nuclear Society,560
Optics InfoBase Conference Papers,561
Optics InfoBase Conference Papers,562
Optics InfoBase Conference Papers,563
"Proceedings of the 20th International Conference on Engineering and Product Design Education, E and PDE 2018",564
"Proceedings of the 20th International Conference on Engineering and Product Design Education, E and PDE 2018",565
"Proceedings of the 20th International Conference on Engineering and Product Design Education, E and PDE 2018",566
"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",567
International Journal of Designed Objects,568
"2018 Aviation Technology, Integration, and Operations Conference",569
International Conference on Transportation and Development 2018: Traffic and Freight Operations and Rail and Public Transit - Selected Papers from the International Conference on Transportation and Development 2018,570
Applied Optics,571
Journal of Materials Science and Technology,572
Journal of Materials Science and Technology,573
Proceedings of the International Telemetering Conference,574
Proceedings of the International Telemetering Conference,575
Proceedings of the International Telemetering Conference,576
Proceedings of the International Telemetering Conference,577
Proceedings of the International Telemetering Conference,578
International Heat Transfer Conference,579
Proceedings of the ASME Design Engineering Technical Conference,580
Proceedings of the ASME Design Engineering Technical Conference,581
Proceedings of the ASME Design Engineering Technical Conference,582
Proceedings of the ASME Design Engineering Technical Conference,583
Proceedings of the ASME Design Engineering Technical Conference,585
Proceedings of the ASME Design Engineering Technical Conference,586
Proceedings of the ASME Design Engineering Technical Conference,587
IEEE Transactions on Nuclear Science,588
Journal of Thermophysics and Heat Transfer,589
Proceedings of SPIE - The International Society for Optical Engineering,590
Proceedings of SPIE - The International Society for Optical Engineering,591
Proceedings of SPIE - The International Society for Optical Engineering,592
IET Conference Publications,593
"2018 ASDSO - Dam Safety, Conference Proceedings",594
Proceedings of the ASME Turbo Expo,595
2018 Applied Aerodynamics Conference,596
"AIAA Aerospace Sciences Meeting, 2018",597
Applied Mechanics Reviews,598
Applied Mechanics Reviews,599
Precision Engineering,600
Proceedings of the International Masonry Society Conferences,601
Proceedings of the International Masonry Society Conferences,602
International Journal of Engineering Education,603
33rd Technical Conference of the American Society for Composites 2018,604
International Journal of Engineering Education,605
Geotechnical Special Publication,606
Optics InfoBase Conference Papers,607
Optics InfoBase Conference Papers,608
Geotechnical Special Publication,609
Geotechnical Special Publication,610
Geotechnical Special Publication,611
Geotechnical Special Publication,612
Geotechnical Special Publication,613
Pacific Symposium on Biocomputing,614
SAE Technical Papers,615
"Wind Energy Symposium, 2018",616
International Journal of Engineering Education,617
Proceedings of the International Telemetering Conference,618
Proceedings of the International Telemetering Conference,619
Nonlinear Ultrasonic and Vibro-Acoustical Techniques for Nondestructive Evaluation,620
"2018 Spring Technical Meeting of the Western States Section of the Combustion Institute, WSSCI 2018",621
Proceedings of SPIE - The International Society for Optical Engineering,622
2018 AIAA/CEAS Aeroacoustics Conference,623
2018 AIAA/CEAS Aeroacoustics Conference,624
2018 AIAA/CEAS Aeroacoustics Conference,625
2018 AIAA/CEAS Aeroacoustics Conference,626
