affiliation,author_id
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",57200699937
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",7202316035
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",35209941000
"Brigham Young University, Electrical and Computer EngineeringUT, United States",35209941000
"Electrical and Computer Engineering, Brigham Young Univeristy, Provo, UT, United States",35209941000
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT 84602 USA.",35209941000
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",35209941000
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, United States",35209941000
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States",35209941000
"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States",57219312906
"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States",57215534774
"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States",35303536900
"Computer Science Department, Brigham Young University, Provo, UT  84602, United States",35303536900
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",57216811262
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",8705255200
"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",8705255200
"Department of Mechanical Engineering, Brigham Young University, 350 Engineering Building, Provo, UT  84602, United States",8705255200
"Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",8705255200
"Mechanical Engineering, Brigham Young University, Provo, UT, United States",8705255200
"Department of Mechanical Engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States",8705255200
"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan",57218879246
"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan",57218883196
"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan",57218883472
"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan",57218875152
"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan",36444802300
"Lafayette College, Easton, PA, United States",7402967162
"Electrical and Computer Engineering Department, Lafayette College, Easton, PA  18042, United States",7402967162
